name,value
ldg_a,PEAR1
ldg_a,PGRMC1
ldg_a,PITPNM2
ldg_a,PKHD1L1
ldg_a,PKIG
ldg_a,PLA2G12A
ldg_a,PLEKHA8P1
ldg_a,PLOD2
ldg_a,PNMA1
ldg_a,PPM1L
ldg_a,PRDX6
ldg_a,PRG2
ldg_a,PROSER2
ldg_a,PRTFDC1
ldg_a,PRUNE1
ldg_a,PSD3
ldg_a,PSPH
ldg_a,PTCRA
ldg_a,PTGIR
ldg_a,PTGS1
ldg_a,PTPN18
ldg_a,PTPRS
ldg_a,PXDC1
ldg_a,PYGB
ldg_a,RAB13
ldg_a,RAB30
ldg_a,RAP1B
ldg_a,RAP2B
ldg_a,RBPMS2
ldg_a,RCC2
ldg_a,RDH11
ldg_a,RGS10
ldg_a,RHBDD1
ldg_a,RHOBTB1
ldg_a,RNF11
ldg_a,RNF217
ldg_a,RSU1
ldg_a,SAV1
ldg_a,SCFD2
ldg_a,SCN9A
ldg_a,SDPR
ldg_a,SEC14L5
ldg_a,SEPT11
ldg_a,SERPINE2
ldg_a,SH3BGRL2
ldg_a,SH3TC2
ldg_a,SHTN1
ldg_a,SIAE
ldg_a,SLA2
ldg_a,SLC25A43
ldg_a,SLC35D2
ldg_a,SLC35D3
ldg_a,SLC44A1
ldg_a,SLC8A3
ldg_a,SMAD1
ldg_a,SMIM24
ldg_a,SMIM5
ldg_a,SMOX
ldg_a,SNAPC3
ldg_a,SNPH
ldg_a,SOX4
ldg_a,SPOCD1
ldg_a,SPSB1
ldg_a,SPX
ldg_a,SSX2IP
ldg_a,ST3GAL3
ldg_a,STMN1
ldg_a,STON2
ldg_a,SYNM
ldg_a,TARBP1
ldg_a,TBXA2R
ldg_a,TCEAL8
ldg_a,TCF4
ldg_a,TDRP
ldg_a,TEX2
ldg_a,TFB1M
ldg_a,TFPI
ldg_a,TGFB1I1
ldg_a,TGFBI
ldg_a,TLK1
ldg_a,TLR7
ldg_a,TMCC2
ldg_a,TMEM158
ldg_a,TMEM40
ldg_a,TMEM45A
ldg_a,TMEM64
ldg_a,TNFSF4
ldg_a,TNS1
ldg_a,TNS3
ldg_a,TPM1
ldg_a,TPSAB1
ldg_a,TPSB2
ldg_a,TPST2
ldg_a,TPTEP1
ldg_a,TRBV27
ldg_a,TREML1
ldg_a,TRIM10
ldg_a,TRIM13
ldg_a,TRIM58
ldg_a,TSC22D1
ldg_a,TSPAN18
ldg_a,TSPAN33
ldg_a,TSPAN9
ldg_a,TTC7B
ldg_a,TUBB
ldg_a,TUBB1
ldg_a,TWSG1
ldg_a,UBE2E2
ldg_a,UBE2O
ldg_a,UBL4A
ldg_a,UGCG
ldg_a,USP12
ldg_a,USP31
ldg_a,UXS1
ldg_a,VEPH1
ldg_a,VIL1
ldg_a,VSIG2
ldg_a,VWA5A
ldg_a,WASF1
ldg_a,WASF3
ldg_a,WDR11-AS1
ldg_a,WHAMMP2
ldg_a,WRB
ldg_a,WWC1
ldg_a,XK
ldg_a,XPNPEP1
ldg_a,YIF1B
ldg_a,YWHAE
ldg_a,YWHAH
ldg_a,ZBTB16
ldg_a,ZC3HAV1L
ldg_a,ZNF175
ldg_a,ZNF271P
ldg_a,ZNF367
ldg_a,ZNF431
ldg_a,ZNF521
ldg_a,ZNF529-AS1
ldg_a,ZNF542P
ldg_a,ZNF677
ldg_a,ZNF718
ldg_b,ABCA13
ldg_b,ARG1
ldg_b,ATP8B4
ldg_b,AZU1
ldg_b,CAMP
ldg_b,CEACAM6
ldg_b,CEACAM8
ldg_b,CHIT1
ldg_b,CLEC12A
ldg_b,CLEC5A
ldg_b,CPNE3
ldg_b,CRISP3
ldg_b,CTSG
ldg_b,CYBB
ldg_b,DEFA4
ldg_b,ELANE
ldg_b,HP
ldg_b,LCN2
ldg_b,LTF
ldg_b,MGST1
ldg_b,MMP8
ldg_b,MPO
ldg_b,MS4A3
ldg_b,OLFM4
ldg_b,OLR1
ldg_b,RNASE3
ldg_b,SERPINB10
ldg_b,SLC2A5
ldg_b,STOM
ldg_b,TCN1
ldg_b,ANLN
ldg_b,BIRC5
ldg_b,BUB1B
ldg_b,CCNA1
ldg_b,CDK1
ldg_b,CDKN2B
ldg_b,DHFR
ldg_b,GFI1
ldg_b,INHBA
